dataset,tnet_old_tp,tnet_old_fp,tnet_old_fn,tnet_new_tp,tnet_new_fp,tnet_new_fn
SEIR015_sl1000_mr0125_nv10_1,70,6,3,52,6,21
SEIR015_sl1000_mr0125_nv10_10,15,2,4,13,2,6
SEIR015_sl1000_mr0125_nv10_11,9,4,4,9,2,4
SEIR015_sl1000_mr0125_nv10_12,12,2,2,10,2,4
SEIR015_sl1000_mr0125_nv10_13,48,2,2,40,1,10
SEIR015_sl1000_mr0125_nv10_14,42,15,10,43,9,9
SEIR015_sl1000_mr0125_nv10_15,31,15,14,23,4,22
SEIR015_sl1000_mr0125_nv10_16,51,19,12,46,20,17
SEIR015_sl1000_mr0125_nv10_17,20,13,6,19,9,7
SEIR015_sl1000_mr0125_nv10_18,7,4,3,7,2,3
SEIR015_sl1000_mr0125_nv10_19,18,11,13,16,4,15
SEIR015_sl1000_mr0125_nv10_2,12,2,4,10,2,6
SEIR015_sl1000_mr0125_nv10_20,36,6,5,34,1,7
SEIR015_sl1000_mr0125_nv10_3,8,3,1,7,2,2
SEIR015_sl1000_mr0125_nv10_4,8,2,2,8,0,2
SEIR015_sl1000_mr0125_nv10_5,31,7,20,17,5,34
SEIR015_sl1000_mr0125_nv10_6,33,3,2,21,3,14
SEIR015_sl1000_mr0125_nv10_7,51,19,17,44,13,24
SEIR015_sl1000_mr0125_nv10_8,13,8,5,12,5,6
SEIR015_sl1000_mr0125_nv10_9,10,11,11,10,6,11
SEIR015_sl1000_mr025_nv10_1,8,2,2,9,1,1
SEIR015_sl1000_mr025_nv10_10,10,1,1,4,1,7
SEIR015_sl1000_mr025_nv10_11,46,7,10,41,9,15
SEIR015_sl1000_mr025_nv10_12,10,3,0,7,2,3
SEIR015_sl1000_mr025_nv10_13,4,8,6,4,8,6
SEIR015_sl1000_mr025_nv10_14,20,9,5,19,7,6
SEIR015_sl1000_mr025_nv10_15,40,28,18,22,24,36
SEIR015_sl1000_mr025_nv10_16,10,6,4,11,5,3
SEIR015_sl1000_mr025_nv10_17,32,7,6,26,6,12
SEIR015_sl1000_mr025_nv10_18,27,10,10,27,8,10
