dataset,prec_50,rec_50,f1_50,prec_60,rec_60,f1_60,prec_70,rec_70,f1_70,prec_80,rec_80,f1_80,prec_90,rec_90,f1_90,prec_100,rec_100,f1_100
SEIR015_sl1000_mr0125_nv10_1,0.898,0.726,0.803,0.925,0.671,0.778,0.932,0.562,0.701,0.917,0.452,0.606,0.939,0.425,0.585,0.935,0.397,0.558
SEIR015_sl1000_mr0125_nv10_10,0.867,0.684,0.765,0.867,0.684,0.765,0.857,0.632,0.727,0.846,0.579,0.688,0.833,0.526,0.645,0.909,0.526,0.667
SEIR015_sl1000_mr0125_nv10_11,0.818,0.692,0.75,0.8,0.615,0.696,0.778,0.538,0.636,0.833,0.385,0.526,0.833,0.385,0.526,0.833,0.385,0.526
SEIR015_sl1000_mr0125_nv10_12,0.833,0.714,0.769,0.818,0.643,0.72,0.857,0.429,0.571,0.833,0.357,0.5,0.8,0.286,0.421,0.8,0.286,0.421
SEIR015_sl1000_mr0125_nv10_13,0.976,0.8,0.879,0.976,0.8,0.879,0.972,0.7,0.814,0.966,0.56,0.709,0.966,0.56,0.709,0.966,0.56,0.709
SEIR015_sl1000_mr0125_nv10_14,0.827,0.827,0.827,0.843,0.827,0.835,0.878,0.692,0.774,0.917,0.635,0.75,0.914,0.615,0.736,0.912,0.596,0.721
SEIR015_sl1000_mr0125_nv10_15,0.852,0.511,0.639,0.846,0.489,0.62,0.778,0.311,0.444,0.765,0.289,0.419,0.765,0.289,0.419,0.765,0.289,0.419
SEIR015_sl1000_mr0125_nv10_16,0.697,0.73,0.713,0.71,0.698,0.704,0.774,0.651,0.707,0.809,0.603,0.691,0.804,0.587,0.679,0.822,0.587,0.685
SEIR015_sl1000_mr0125_nv10_17,0.679,0.731,0.704,0.679,0.731,0.704,0.667,0.692,0.679,0.652,0.577,0.612,0.652,0.577,0.612,0.682,0.577,0.625
SEIR015_sl1000_mr0125_nv10_18,0.778,0.7,0.737,0.75,0.6,0.667,0.714,0.5,0.588,0.714,0.5,0.588,0.714,0.5,0.588,0.714,0.5,0.588
SEIR015_sl1000_mr0125_nv10_19,0.8,0.516,0.627,0.8,0.516,0.627,0.8,0.516,0.627,0.833,0.484,0.612,0.882,0.484,0.625,0.882,0.484,0.625
SEIR015_sl1000_mr0125_nv10_2,0.833,0.625,0.714,0.909,0.625,0.741,0.909,0.625,0.741,0.9,0.562,0.692,0.9,0.562,0.692,0.9,0.562,0.692
SEIR015_sl1000_mr0125_nv10_20,0.971,0.829,0.895,0.971,0.829,0.895,0.966,0.683,0.8,0.963,0.634,0.765,0.96,0.585,0.727,0.96,0.585,0.727
SEIR015_sl1000_mr0125_nv10_3,0.778,0.778,0.778,0.778,0.778,0.778,0.714,0.556,0.625,0.714,0.556,0.625,0.714,0.556,0.625,0.714,0.556,0.625
SEIR015_sl1000_mr0125_nv10_4,1,0.8,0.889,1,0.8,0.889,1,0.6,0.75,1,0.6,0.75,1,0.6,0.75,1,0.6,0.75
SEIR015_sl1000_mr0125_nv10_5,0.773,0.333,0.466,0.762,0.314,0.444,0.737,0.275,0.4,0.722,0.255,0.377,0.688,0.216,0.328,0.688,0.216,0.328
SEIR015_sl1000_mr0125_nv10_6,0.875,0.6,0.712,0.875,0.6,0.712,0.882,0.429,0.577,0.857,0.343,0.49,0.857,0.343,0.49,0.857,0.343,0.49
SEIR015_sl1000_mr0125_nv10_7,0.772,0.647,0.704,0.768,0.632,0.694,0.833,0.515,0.636,0.865,0.471,0.61,0.857,0.441,0.583,0.909,0.441,0.594
SEIR015_sl1000_mr0125_nv10_8,0.706,0.667,0.686,0.688,0.611,0.647,0.692,0.5,0.581,0.75,0.333,0.462,0.714,0.278,0.4,0.714,0.278,0.4
SEIR015_sl1000_mr0125_nv10_9,0.625,0.476,0.541,0.625,0.476,0.541,0.583,0.333,0.424,0.556,0.238,0.333,0.625,0.238,0.345,0.625,0.238,0.345
SEIR015_sl1000_mr025_nv10_1,0.9,0.9,0.9,0.889,0.8,0.842,0.889,0.8,0.842,0.889,0.8,0.842,0.889,0.8,0.842,0.889,0.8,0.842
