dataset,prec_50,rec_50,f1_50,prec_60,rec_60,f1_60,prec_70,rec_70,f1_70,prec_80,rec_80,f1_80,prec_90,rec_90,f1_90,prec_100,rec_100,f1_100
SEIR015_sl1000_mr0125_nv10_1,0.921,0.959,0.94,0.93,0.904,0.917,0.923,0.822,0.87,0.921,0.795,0.853,0.914,0.726,0.809,0.914,0.726,0.809
SEIR015_sl1000_mr0125_nv10_10,0.882,0.789,0.833,0.882,0.789,0.833,0.938,0.789,0.857,0.938,0.789,0.857,0.938,0.789,0.857,0.938,0.789,0.857
SEIR015_sl1000_mr0125_nv10_11,0.692,0.692,0.692,0.75,0.692,0.72,0.818,0.692,0.75,0.818,0.692,0.75,0.818,0.692,0.75,0.9,0.692,0.783
SEIR015_sl1000_mr0125_nv10_12,0.857,0.857,0.857,0.857,0.857,0.857,0.833,0.714,0.769,0.818,0.643,0.72,0.818,0.643,0.72,0.818,0.643,0.72
SEIR015_sl1000_mr0125_nv10_13,0.96,0.96,0.96,0.96,0.96,0.96,0.978,0.9,0.938,0.976,0.8,0.879,0.974,0.76,0.854,0.974,0.76,0.854
SEIR015_sl1000_mr0125_nv10_14,0.737,0.808,0.771,0.764,0.808,0.785,0.759,0.788,0.774,0.765,0.75,0.757,0.771,0.712,0.74,0.771,0.712,0.74
SEIR015_sl1000_mr0125_nv10_15,0.674,0.689,0.681,0.674,0.689,0.681,0.674,0.644,0.659,0.667,0.533,0.593,0.676,0.511,0.582,0.719,0.511,0.597
SEIR015_sl1000_mr0125_nv10_16,0.729,0.81,0.767,0.735,0.794,0.763,0.754,0.778,0.766,0.738,0.714,0.726,0.763,0.714,0.738,0.763,0.714,0.738
SEIR015_sl1000_mr0125_nv10_17,0.606,0.769,0.678,0.625,0.769,0.69,0.679,0.731,0.704,0.679,0.731,0.704,0.679,0.731,0.704,0.654,0.654,0.654
SEIR015_sl1000_mr0125_nv10_18,0.636,0.7,0.667,0.636,0.7,0.667,0.636,0.7,0.667,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
SEIR015_sl1000_mr0125_nv10_19,0.621,0.581,0.6,0.643,0.581,0.61,0.692,0.581,0.632,0.818,0.581,0.679,0.8,0.516,0.627,0.842,0.516,0.64
SEIR015_sl1000_mr0125_nv10_2,0.857,0.75,0.8,0.857,0.75,0.8,0.909,0.625,0.741,0.909,0.625,0.741,0.909,0.625,0.741,0.909,0.625,0.741
SEIR015_sl1000_mr0125_nv10_20,0.857,0.878,0.867,0.857,0.878,0.867,0.857,0.878,0.867,0.889,0.78,0.831,0.939,0.756,0.838,0.939,0.756,0.838
SEIR015_sl1000_mr0125_nv10_3,0.727,0.889,0.8,0.7,0.778,0.737,0.7,0.778,0.737,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
SEIR015_sl1000_mr0125_nv10_4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,0.8,0.889,1,0.8,0.889,1,0.8,0.889
SEIR015_sl1000_mr0125_nv10_5,0.816,0.608,0.697,0.824,0.549,0.659,0.806,0.49,0.61,0.769,0.392,0.519,0.714,0.294,0.417,0.714,0.294,0.417
SEIR015_sl1000_mr0125_nv10_6,0.917,0.943,0.93,0.912,0.886,0.899,0.9,0.771,0.831,0.889,0.686,0.774,0.889,0.686,0.774,0.875,0.6,0.712
SEIR015_sl1000_mr0125_nv10_7,0.729,0.75,0.739,0.75,0.75,0.75,0.761,0.75,0.756,0.857,0.706,0.774,0.854,0.603,0.707,0.854,0.603,0.707
SEIR015_sl1000_mr0125_nv10_8,0.619,0.722,0.667,0.611,0.611,0.611,0.588,0.556,0.571,0.727,0.444,0.552,0.727,0.444,0.552,0.727,0.444,0.552
SEIR015_sl1000_mr0125_nv10_9,0.476,0.476,0.476,0.526,0.476,0.5,0.529,0.429,0.474,0.529,0.429,0.474,0.562,0.429,0.486,0.562,0.429,0.486
SEIR015_sl1000_mr025_nv10_1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.889,0.8,0.842,0.889,0.8,0.842,0.889,0.8,0.842
SEIR015_sl1000_mr025_nv10_10,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.889,0.727,0.8,0.889,0.727,0.8
SEIR015_sl1000_mr025_nv10_11,0.873,0.857,0.865,0.86,0.768,0.811,0.894,0.75,0.816,0.884,0.679,0.768,0.881,0.661,0.755,0.881,0.661,0.755
SEIR015_sl1000_mr025_nv10_12,0.769,1,0.87,0.769,1,0.87,0.769,1,0.87,0.75,0.9,0.818,0.7,0.7,0.7,0.7,0.7,0.7
SEIR015_sl1000_mr025_nv10_13,0.333,0.4,0.364,0.364,0.4,0.381,0.364,0.4,0.381,0.5,0.4,0.444,0.5,0.4,0.444,0.5,0.4,0.444
SEIR015_sl1000_mr025_nv10_14,0.69,0.8,0.741,0.69,0.8,0.741,0.714,0.8,0.755,0.708,0.68,0.694,0.708,0.68,0.694,0.696,0.64,0.667
SEIR015_sl1000_mr025_nv10_15,0.588,0.69,0.635,0.597,0.638,0.617,0.576,0.586,0.581,0.547,0.5,0.523,0.529,0.466,0.495,0.543,0.431,0.481
SEIR015_sl1000_mr025_nv10_16,0.625,0.714,0.667,0.625,0.714,0.667,0.667,0.714,0.69,0.667,0.714,0.69,0.667,0.714,0.69,0.667,0.714,0.69
SEIR015_sl1000_mr025_nv10_17,0.821,0.842,0.831,0.821,0.842,0.831,0.829,0.763,0.795,0.818,0.711,0.761,0.812,0.684,0.743,0.812,0.684,0.743
SEIR015_sl1000_mr025_nv10_18,0.73,0.73,0.73,0.75,0.73,0.74,0.75,0.73,0.74,0.794,0.73,0.761,0.806,0.676,0.735,0.857,0.649,0.738
SEIR015_sl1000_mr025_nv10_19,0.773,0.895,0.829,0.773,0.895,0.829,0.81,0.895,0.85,0.778,0.737,0.757,0.778,0.737,0.757,0.75,0.632,0.686
SEIR015_sl1000_mr025_nv10_2,0.842,0.857,0.85,0.852,0.821,0.836,0.86,0.768,0.811,0.867,0.696,0.772,0.857,0.643,0.735,0.846,0.589,0.695
SEIR015_sl1000_mr025_nv10_20,0.6,0.75,0.667,0.6,0.75,0.667,0.6,0.75,0.667,0.6,0.75,0.667,0.556,0.625,0.588,0.556,0.625,0.588
SEIR015_sl1000_mr025_nv10_3,0.918,0.978,0.947,0.913,0.913,0.913,0.927,0.826,0.874,0.927,0.826,0.874,0.927,0.826,0.874,0.927,0.826,0.874
SEIR015_sl1000_mr025_nv10_4,0.708,0.773,0.739,0.708,0.773,0.739,0.723,0.773,0.747,0.75,0.682,0.714,0.744,0.659,0.699,0.763,0.659,0.707
SEIR015_sl1000_mr025_nv10_5,0.854,0.854,0.854,0.87,0.833,0.851,0.87,0.833,0.851,0.889,0.833,0.86,0.875,0.729,0.795,0.897,0.729,0.805
SEIR015_sl1000_mr025_nv10_6,0.826,0.826,0.826,0.864,0.826,0.844,0.857,0.783,0.818,0.85,0.739,0.791,0.85,0.739,0.791,0.861,0.674,0.756
SEIR015_sl1000_mr025_nv10_7,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv10_8,0.944,0.85,0.895,1,0.8,0.889,1,0.8,0.889,1,0.8,0.889,1,0.8,0.889,1,0.8,0.889
SEIR015_sl1000_mr025_nv10_9,0.931,0.964,0.947,0.944,0.911,0.927,0.961,0.875,0.916,0.961,0.875,0.916,0.958,0.821,0.885,0.958,0.821,0.885
SEIR015_sl1000_mr025_nv20_1,0.667,0.667,0.667,0.714,0.667,0.69,0.833,0.667,0.741,0.818,0.6,0.692,0.818,0.6,0.692,0.818,0.6,0.692
SEIR015_sl1000_mr025_nv20_10,0.7,0.778,0.737,0.7,0.778,0.737,0.7,0.778,0.737,0.7,0.778,0.737,0.7,0.778,0.737,0.7,0.778,0.737
SEIR015_sl1000_mr025_nv20_11,0.857,0.923,0.889,0.857,0.923,0.889,0.857,0.923,0.889,0.857,0.923,0.889,0.833,0.769,0.8,0.833,0.769,0.8
SEIR015_sl1000_mr025_nv20_12,0.48,0.6,0.533,0.5,0.6,0.545,0.5,0.6,0.545,0.6,0.6,0.6,0.706,0.6,0.649,0.706,0.6,0.649
SEIR015_sl1000_mr025_nv20_13,0.538,0.778,0.636,0.538,0.778,0.636,0.538,0.778,0.636,0.538,0.778,0.636,0.538,0.778,0.636,0.538,0.778,0.636
SEIR015_sl1000_mr025_nv20_14,0.909,0.909,0.909,0.909,0.909,0.909,0.9,0.818,0.857,0.889,0.727,0.8,0.889,0.727,0.8,0.889,0.727,0.8
SEIR015_sl1000_mr025_nv20_15,0.581,0.75,0.655,0.581,0.75,0.655,0.667,0.75,0.706,0.667,0.75,0.706,0.72,0.75,0.735,0.72,0.75,0.735
SEIR015_sl1000_mr025_nv20_16,0.871,0.9,0.885,0.871,0.9,0.885,0.871,0.9,0.885,0.871,0.9,0.885,0.871,0.9,0.885,0.862,0.833,0.847
SEIR015_sl1000_mr025_nv20_17,0.833,0.893,0.862,0.86,0.875,0.867,0.86,0.875,0.867,0.86,0.875,0.867,0.855,0.839,0.847,0.846,0.786,0.815
SEIR015_sl1000_mr025_nv20_18,0.596,0.718,0.651,0.609,0.718,0.659,0.628,0.692,0.659,0.643,0.692,0.667,0.643,0.692,0.667,0.643,0.692,0.667
SEIR015_sl1000_mr025_nv20_19,0.462,0.545,0.5,0.6,0.545,0.571,0.6,0.545,0.571,0.6,0.545,0.571,0.6,0.545,0.571,0.6,0.545,0.571
SEIR015_sl1000_mr025_nv20_2,0.846,0.88,0.863,0.846,0.88,0.863,0.846,0.88,0.863,0.846,0.88,0.863,0.917,0.88,0.898,0.917,0.88,0.898
SEIR015_sl1000_mr025_nv20_20,0.684,0.684,0.684,0.684,0.684,0.684,0.706,0.632,0.667,0.706,0.632,0.667,0.667,0.526,0.588,0.667,0.526,0.588
SEIR015_sl1000_mr025_nv20_3,0.616,0.682,0.647,0.652,0.652,0.652,0.661,0.621,0.641,0.667,0.606,0.635,0.661,0.591,0.624,0.672,0.591,0.629
SEIR015_sl1000_mr025_nv20_4,0.853,0.879,0.866,0.839,0.788,0.812,0.839,0.788,0.812,0.808,0.636,0.712,0.808,0.636,0.712,0.808,0.636,0.712
SEIR015_sl1000_mr025_nv20_5,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.943,0.846,0.892,0.943,0.846,0.892
